86.0	85.0	72.0	100.5	99.5	87.5	24	0.00149182162076	0.000266355097515	DLR00012709-2009-07-01_11-32-39	-0.000874622486401	2	103	3414.5	344.5	3.95103284869e-05	0.000532793435985	135	135
91.0	89.0	75.0	109.0	107.0	97.0	1	0.00159838030795	0.000265263576675	DLR00012709-2009-07-01_11-32-39	0.000870318102643	3	103	270.5	483.5	4.42335847968e-05	0.000586072779583	135	135
93.0	91.0	77.0	108.0	108.0	96.0	2	0.000639352123182	0.000285658433979	DLR00012709-2009-07-01_11-32-39	0.00100433566731	3	103	409.5	483.5	1.32723578004e-05	0.000159838030795	135	135
95.0	93.0	78.0	119.5	120.5	108.0	3	0.00271724652352	0.000421021786918	DLR00012709-2009-07-01_11-32-39	0.00110652812358	3	103	544.5	491.5	0.00018188637574	0.00127870424636	135	135
97.0	95.0	79.0	117.0	116.0	102.0	4	0.000852469497576	0.000317439170772	DLR00012709-2009-07-01_11-32-39	0.000720614156779	3	103	671.5	492.5	1.39478979655e-05	0.000159838030795	135	135
97.0	96.0	79.0				5	0.0		DLR00012709-2009-07-01_11-32-39	0.00091961433033	3	103	815.5	483.5	0.0	0.0	135	135
97.0	96.0	79.0				6	0.0		DLR00012709-2009-07-01_11-32-39	0.00114603329066	3	103	952.5	477.5	0.0	0.0	135	135
97.0	96.0	78.0	115.5	116.5	100.5	7	0.000586072779583	0.000298794297722	DLR00012709-2009-07-01_11-32-39	0.000461004384838	3	103	1090.5	477.5	8.11897766733e-06	0.000106558687197	135	135
96.0	96.0	78.0	110.0	111.0	95.0	8	0.000213117374394	0.000223494952131	DLR00012709-2009-07-01_11-32-39	0.000217383031635	3	103	1217.5	483.5	3.03645440852e-06	5.32793435985e-05	135	135
95.0	95.0	78.0	113.0	113.0	95.0	9	0.000319676061591	0.000254154945201	DLR00012709-2009-07-01_11-32-39	0.000162615381536	3	103	1367.5	483.5	3.45300820642e-06	5.32793435985e-05	135	135
95.0	95.0	77.0	111.0	111.0	95.0	10	0.000905748841174	0.000237375134847	DLR00012709-2009-07-01_11-32-39	-8.7429795702e-05	3	103	1497.5	476.5	1.05620165932e-05	0.000159838030795	135	135
95.0	94.0	76.0	108.0	108.0	94.0	11	0.000426234748788	0.000209028441061	DLR00012709-2009-07-01_11-32-39	-0.000141129427755	3	103	1642.5	477.5	8.61850171458e-06	0.000159838030795	135	135
95.0	95.0	76.0	111.0	112.0	98.0	12	0.00197133571314	0.000268282864791	DLR00012709-2009-07-01_11-32-39	-0.000304475521746	3	103	1766.5	483.5	3.57178357261e-05	0.000479514092386	135	135
95.0	95.0	76.0	113.0	112.0	98.0	13	0.000959028184773	0.000268894758881	DLR00012709-2009-07-01_11-32-39	-2.42163215154e-05	3	103	1898.5	483.5	2.17368990516e-05	0.000266396717992	135	135
94.0	94.0	76.0				14	0.0		DLR00012709-2009-07-01_11-32-39	-0.000597236271264	3	103	2048.5	476.5	0.0	0.0	135	135
94.0	94.0	76.0				15	0.0		DLR00012709-2009-07-01_11-32-39	-0.000281413489437	3	103	2183.5	485.5	0.0	0.0	135	135
94.0	94.0	76.0	111.0	112.0	96.0	16	0.00170493899515	0.000261595821646	DLR00012709-2009-07-01_11-32-39	-0.000871241993586	3	103	2317.5	479.5	4.56049373595e-05	0.000586072779583	135	135
95.0	94.0	76.0				17	0.0		DLR00012709-2009-07-01_11-32-39	0.00073083815072	3	103	2467.5	483.5	0.0	0.0	135	135
95.0	94.0	76.0	109.0	111.0	95.5	18	0.00303692258511	0.000264350497866	DLR00012709-2009-07-01_11-32-39	0.00334350711084	3	103	2591.5	491.5	0.000133273628208	0.00181149768235	135	135
94.0	92.0	75.0	107.0	108.0	88.0	19	0.000479514092386	0.000209716502518	DLR00012709-2009-07-01_11-32-39	0.00042096272389	3	103	2727.5	483.5	8.75761844176e-06	0.000159838030795	135	135
94.0	91.0	74.0				20	0.0		DLR00012709-2009-07-01_11-32-39	-0.000491719152573	3	103	2866.5	481.5	0.0	0.0	135	135
